               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039236,             0.02107,            0.010829,             0.38601,             0.26572,             0.25766,             0.10252,            0.055083,            0.020107,            0.021685,             0.00043,             0.00043,             0.09613
                   1,            0.036921,            0.021047,            0.010297,             0.41534,             0.26812,             0.26737,             0.10332,            0.054543,            0.020216,            0.020946,          0.00086998,          0.00086998,             0.09217
                   2,            0.036215,            0.021474,            0.010517,             0.44573,             0.26279,             0.26936,             0.10018,            0.055188,            0.019957,            0.020621,           0.0013099,           0.0013099,             0.08821
                   3,            0.035411,            0.019963,           0.0095319,             0.35769,              0.2954,             0.27308,             0.10575,            0.054655,             0.02008,            0.019875,           0.0017496,           0.0017496,             0.08425
                   4,            0.035622,            0.020884,           0.0087554,             0.42768,             0.27105,             0.27598,             0.10479,            0.054848,            0.020149,            0.019794,           0.0021891,           0.0021891,            0.080289
                   5,            0.036313,            0.020899,           0.0081204,             0.40088,             0.27245,              0.2771,             0.11106,            0.054213,            0.020361,            0.019966,           0.0026284,           0.0026284,            0.076328
                   6,            0.036046,            0.021303,           0.0072502,             0.45271,             0.27513,             0.28134,             0.11255,            0.053808,            0.020482,            0.020014,           0.0030673,           0.0030673,            0.072367
                   7,            0.036204,             0.01971,           0.0070205,             0.39861,             0.29792,             0.27816,             0.11297,            0.053196,            0.020927,            0.019994,           0.0035058,           0.0035058,            0.068406
                   8,            0.036772,            0.018895,           0.0085281,             0.33284,             0.30757,             0.27244,             0.11073,            0.054204,            0.020431,            0.020237,           0.0039438,           0.0039438,            0.064444
                   9,            0.035482,            0.019804,           0.0068188,             0.41767,             0.26561,             0.28064,             0.10893,            0.054666,            0.020622,            0.018921,           0.0043812,           0.0043812,            0.060481
                  10,            0.036106,            0.019588,           0.0064944,             0.36946,             0.29837,             0.25384,            0.097349,            0.055738,             0.02112,            0.019464,           0.0048181,           0.0048181,            0.056518
                  11,            0.038312,            0.019389,             0.00733,             0.45922,             0.27699,             0.27454,             0.10991,            0.055894,            0.020787,             0.01996,           0.0052543,           0.0052543,            0.052554
                  12,            0.038163,            0.019636,           0.0069288,             0.44885,             0.29063,             0.27795,             0.10615,            0.056454,            0.020706,            0.019243,           0.0056897,           0.0056897,             0.04859
                  13,            0.037366,            0.019034,           0.0069771,             0.30895,             0.29974,             0.26855,             0.10494,            0.054901,            0.020246,            0.018118,           0.0061244,           0.0061244,            0.044624
                  14,            0.038224,            0.019872,           0.0066925,             0.34341,             0.27071,             0.26428,             0.10246,            0.055185,            0.020368,             0.02015,           0.0065582,           0.0065582,            0.040658
                  15,              0.0369,            0.018776,           0.0074892,             0.34733,              0.2809,             0.25303,            0.097093,            0.056429,            0.020666,            0.019771,           0.0069911,           0.0069911,            0.036691
                  16,            0.038056,            0.018968,           0.0069775,              0.4505,             0.25301,               0.254,            0.094359,            0.054916,            0.020963,            0.021113,           0.0074229,           0.0074229,            0.032723
                  17,            0.037584,            0.019409,             0.00702,             0.44828,             0.21525,             0.22833,             0.08239,            0.055855,             0.02108,            0.020654,           0.0078537,           0.0078537,            0.028754
                  18,            0.037733,            0.020516,           0.0085994,             0.28656,             0.30432,             0.22985,             0.07922,            0.058332,            0.020614,            0.019894,           0.0082834,           0.0082834,            0.024783
                  19,             0.03949,            0.019629,           0.0076637,             0.31513,             0.27327,             0.22933,            0.079307,            0.058644,            0.020123,            0.020633,            0.008712,            0.008712,            0.020812
                  20,            0.040599,             0.01969,            0.007712,             0.29563,             0.26228,             0.23191,            0.089761,            0.057261,            0.020045,            0.020789,           0.0091392,           0.0091392,            0.016839
                  21,            0.040522,            0.019185,           0.0079507,             0.45321,             0.20517,             0.21129,            0.077693,            0.057548,            0.021153,             0.02185,           0.0095652,           0.0095652,            0.012865
                  22,             0.04094,            0.019147,           0.0079651,             0.41988,             0.20509,             0.20519,            0.065991,            0.058296,            0.020892,             0.02295,           0.0098811,           0.0098811,           0.0098811
                  23,             0.03986,            0.019585,           0.0099925,             0.28971,              0.2501,             0.20679,             0.07624,            0.058114,            0.021224,            0.023387,           0.0098811,           0.0098811,           0.0098811
                  24,            0.040094,            0.019892,           0.0092873,             0.36125,             0.25094,             0.22533,            0.086125,            0.057496,            0.020782,            0.023593,           0.0098701,           0.0098701,           0.0098701
                  25,             0.04058,            0.018822,           0.0094335,             0.35432,             0.26715,             0.23334,            0.083073,            0.057773,            0.020153,            0.025634,           0.0098586,           0.0098586,           0.0098586
                  26,            0.039518,            0.019576,           0.0091109,             0.30821,             0.27948,             0.23169,            0.086064,            0.057351,            0.020476,            0.022384,           0.0098467,           0.0098467,           0.0098467
                  27,            0.040296,            0.020199,           0.0086476,              0.3684,             0.23729,               0.228,            0.079484,            0.056789,            0.020202,            0.021546,           0.0098342,           0.0098342,           0.0098342
                  28,            0.039941,            0.019806,           0.0098078,             0.30299,             0.25959,             0.22009,            0.081074,            0.055907,            0.020421,            0.020937,           0.0098213,           0.0098213,           0.0098213
                  29,            0.039362,            0.019112,           0.0097098,             0.31264,             0.23672,             0.20205,            0.070855,            0.057396,            0.021193,            0.021888,           0.0098079,           0.0098079,           0.0098079
                  30,            0.039861,            0.019214,           0.0083074,             0.34701,             0.26288,             0.21764,            0.069625,            0.057726,              0.0221,            0.022019,           0.0097941,           0.0097941,           0.0097941
                  31,             0.04047,            0.020528,           0.0079825,             0.28967,             0.25897,             0.20921,            0.073813,            0.059172,            0.021079,            0.023611,           0.0097798,           0.0097798,           0.0097798
                  32,            0.039141,             0.01903,           0.0087428,               0.292,             0.25569,             0.20584,            0.076716,            0.056968,            0.021358,            0.024675,            0.009765,            0.009765,            0.009765
                  33,            0.039375,            0.019624,            0.010825,             0.34666,             0.21599,             0.21341,            0.082291,            0.059037,            0.022678,            0.022347,           0.0097497,           0.0097497,           0.0097497
                  34,            0.040843,            0.019367,           0.0087755,              0.3235,             0.25391,              0.2101,             0.07517,             0.05658,            0.020996,            0.022302,            0.009734,            0.009734,            0.009734
                  35,            0.039007,            0.020453,            0.009242,             0.35064,             0.27714,             0.22043,            0.069266,            0.057665,            0.020974,            0.021309,           0.0097178,           0.0097178,           0.0097178
                  36,            0.039165,            0.019527,           0.0086725,             0.33804,             0.27432,             0.22081,            0.085413,            0.056198,            0.021212,            0.023725,           0.0097011,           0.0097011,           0.0097011
                  37,            0.040594,            0.019355,           0.0073135,             0.25922,             0.28018,             0.21148,            0.074486,            0.057329,            0.022111,            0.022247,            0.009684,            0.009684,            0.009684
                  38,            0.039573,            0.019783,           0.0084789,             0.42806,              0.2192,             0.22444,            0.083891,            0.057383,            0.021398,            0.022119,           0.0096664,           0.0096664,           0.0096664
                  39,            0.038805,            0.019478,           0.0085847,             0.30644,             0.20886,             0.19504,            0.067066,            0.058202,            0.021399,            0.022864,           0.0096484,           0.0096484,           0.0096484
                  40,            0.036979,            0.019897,              0.0089,             0.26628,             0.26851,             0.22152,             0.08286,            0.056581,            0.023175,             0.02421,           0.0096299,           0.0096299,           0.0096299
                  41,            0.038696,            0.019261,           0.0085243,             0.35904,             0.26616,             0.23203,            0.078525,             0.05721,            0.022047,            0.022804,            0.009611,            0.009611,            0.009611
                  42,             0.03825,            0.019924,           0.0082461,             0.31657,             0.23903,             0.20444,            0.067858,             0.05661,            0.021426,            0.023918,           0.0095916,           0.0095916,           0.0095916
                  43,            0.039246,            0.019587,           0.0094064,             0.46717,             0.20151,             0.21078,            0.075412,            0.057753,            0.021479,            0.023592,           0.0095717,           0.0095717,           0.0095717
                  44,             0.03861,            0.019937,           0.0081529,              0.3781,             0.23167,             0.20397,            0.068699,             0.05827,            0.021167,            0.023802,           0.0095514,           0.0095514,           0.0095514
                  45,            0.038082,            0.019391,           0.0079092,             0.28289,             0.24129,             0.19595,            0.062212,            0.059423,             0.02134,            0.022981,           0.0095307,           0.0095307,           0.0095307
                  46,            0.037799,            0.019841,           0.0078151,             0.27205,             0.30068,             0.20804,            0.073841,            0.057865,            0.021509,            0.022135,           0.0095095,           0.0095095,           0.0095095
                  47,            0.037591,                0.02,           0.0078385,             0.31532,             0.26223,             0.21435,            0.075646,            0.057929,            0.021432,            0.022861,           0.0094879,           0.0094879,           0.0094879
                  48,            0.037969,            0.019164,            0.008077,               0.347,             0.23947,             0.22151,            0.077151,            0.057807,            0.021815,            0.023218,           0.0094659,           0.0094659,           0.0094659
                  49,            0.037142,            0.018559,           0.0085375,              0.3345,             0.24065,             0.21287,              0.0705,            0.059315,            0.022999,            0.022422,           0.0094434,           0.0094434,           0.0094434
                  50,            0.037689,            0.019577,           0.0077953,             0.36777,             0.24198,             0.22237,            0.077017,            0.057797,            0.021403,            0.023348,           0.0094205,           0.0094205,           0.0094205
                  51,            0.037493,            0.019804,           0.0084066,             0.39998,             0.24733,             0.20537,            0.066419,            0.058197,            0.021537,            0.024308,           0.0093971,           0.0093971,           0.0093971
                  52,            0.035975,            0.019375,           0.0074828,              0.3638,              0.2282,             0.21801,             0.07506,            0.056052,            0.022603,            0.023125,           0.0093733,           0.0093733,           0.0093733
                  53,            0.036174,             0.01994,           0.0080578,              0.3673,              0.2315,             0.21957,            0.081828,            0.055956,            0.022056,            0.022373,           0.0093491,           0.0093491,           0.0093491
                  54,            0.037162,            0.019362,            0.007829,             0.32699,             0.24646,             0.21578,            0.075433,            0.057638,             0.02314,            0.024851,           0.0093245,           0.0093245,           0.0093245
                  55,            0.036893,             0.01856,           0.0075883,             0.29936,             0.27727,             0.21686,             0.08166,            0.056519,            0.022508,            0.022888,           0.0092995,           0.0092995,           0.0092995
                  56,            0.036787,            0.018973,           0.0072756,             0.32953,             0.24691,             0.23573,            0.077515,            0.056764,            0.022123,            0.023509,            0.009274,            0.009274,            0.009274
                  57,             0.03678,            0.019177,           0.0076666,             0.28992,             0.21641,             0.19748,            0.069952,            0.055861,            0.022566,            0.023578,           0.0092481,           0.0092481,           0.0092481
                  58,            0.036702,            0.019036,           0.0073344,              0.2918,             0.25761,             0.20293,            0.070248,            0.057368,            0.022676,             0.02216,           0.0092219,           0.0092219,           0.0092219
                  59,            0.036884,            0.018998,           0.0076625,             0.39954,             0.20543,             0.21405,            0.077566,            0.056318,            0.021379,            0.023965,           0.0091952,           0.0091952,           0.0091952
                  60,            0.036228,            0.018848,            0.008081,             0.34752,             0.20229,             0.21239,            0.075597,             0.05675,            0.021507,            0.022272,           0.0091681,           0.0091681,           0.0091681
                  61,            0.037379,            0.019115,           0.0069318,              0.2998,             0.22105,             0.20458,            0.068418,            0.055971,            0.023794,            0.023581,           0.0091406,           0.0091406,           0.0091406
                  62,            0.036526,            0.018428,           0.0081134,             0.25073,             0.22249,             0.19096,             0.07009,            0.056945,            0.024182,            0.023173,           0.0091127,           0.0091127,           0.0091127
                  63,            0.036325,            0.018849,           0.0070224,             0.35174,             0.18338,             0.19524,            0.074151,            0.057091,            0.022092,            0.023689,           0.0090844,           0.0090844,           0.0090844
                  64,            0.036214,            0.018892,           0.0067841,              0.3484,             0.24334,             0.24171,            0.089749,            0.055127,            0.021952,            0.021689,           0.0090557,           0.0090557,           0.0090557
                  65,            0.036059,            0.019215,           0.0071533,             0.28821,             0.25936,             0.20957,            0.078662,            0.055722,             0.02186,            0.024097,           0.0090266,           0.0090266,           0.0090266
                  66,            0.035371,            0.018974,           0.0080714,             0.29602,             0.25053,              0.2074,            0.075759,            0.057297,            0.023273,            0.023204,           0.0089972,           0.0089972,           0.0089972
                  67,            0.036166,            0.018259,           0.0076952,             0.34848,             0.19488,             0.19034,            0.062484,             0.05845,            0.022344,            0.024882,           0.0089673,           0.0089673,           0.0089673
                  68,             0.03575,            0.019171,           0.0079126,             0.26094,             0.25792,             0.20409,            0.067843,            0.057579,            0.022946,            0.022075,           0.0089371,           0.0089371,           0.0089371
                  69,            0.035385,            0.018811,           0.0075481,             0.30411,             0.26867,             0.22079,             0.07898,            0.056445,            0.023783,            0.020901,           0.0089065,           0.0089065,           0.0089065
                  70,            0.036301,            0.019078,           0.0066084,             0.32385,              0.2536,             0.22283,            0.077765,            0.056981,            0.024245,            0.022655,           0.0088755,           0.0088755,           0.0088755
                  71,            0.034746,            0.018472,           0.0072585,             0.27554,             0.22034,             0.18796,            0.070742,            0.057962,            0.022919,            0.024708,           0.0088442,           0.0088442,           0.0088442
                  72,            0.034741,            0.018948,           0.0069181,             0.39657,             0.20936,             0.19802,            0.079239,            0.055044,             0.02483,            0.025411,           0.0088124,           0.0088124,           0.0088124
                  73,            0.035431,            0.018935,           0.0070004,             0.30835,             0.26218,             0.22152,            0.085985,            0.055944,            0.022979,            0.024085,           0.0087804,           0.0087804,           0.0087804
                  74,            0.035289,            0.019073,           0.0081619,             0.41966,             0.22135,             0.23667,            0.087569,            0.056302,            0.021668,            0.021133,           0.0087479,           0.0087479,           0.0087479
                  75,            0.034316,            0.018686,            0.007012,             0.23806,             0.32872,             0.22521,            0.079688,            0.056799,            0.022489,            0.021192,           0.0087151,           0.0087151,           0.0087151
                  76,             0.03512,             0.01812,           0.0081928,             0.23007,             0.24857,             0.17608,            0.060259,             0.05898,            0.025009,            0.026109,            0.008682,            0.008682,            0.008682
                  77,            0.034836,            0.019634,           0.0066026,             0.29408,             0.23132,             0.18621,            0.069521,            0.058475,            0.024275,            0.022507,           0.0086485,           0.0086485,           0.0086485
                  78,            0.035718,            0.017949,           0.0068995,             0.29259,             0.23683,             0.20084,            0.073753,            0.056829,            0.021326,            0.020924,           0.0086146,           0.0086146,           0.0086146
                  79,            0.035359,            0.018364,           0.0073037,             0.31773,             0.23418,             0.21432,            0.074423,            0.057837,            0.021088,            0.022574,           0.0085805,           0.0085805,           0.0085805
                  80,            0.034871,            0.017293,           0.0061516,             0.31192,             0.21798,             0.20391,            0.074694,            0.058059,            0.021734,            0.021041,           0.0085459,           0.0085459,           0.0085459
                  81,            0.034495,             0.01804,           0.0070842,             0.34933,             0.24294,              0.2176,            0.080349,            0.057685,            0.022259,            0.020016,           0.0085111,           0.0085111,           0.0085111
                  82,            0.034483,            0.018684,           0.0070663,             0.30397,             0.24705,             0.21846,            0.078579,            0.057466,            0.021379,            0.020702,           0.0084759,           0.0084759,           0.0084759
                  83,            0.034038,            0.018788,           0.0074875,             0.32342,             0.24582,             0.21486,             0.06765,            0.058236,            0.022051,            0.020737,           0.0084404,           0.0084404,           0.0084404
                  84,            0.034217,            0.018034,           0.0072993,             0.24539,             0.25902,             0.19569,            0.078765,            0.057362,            0.022631,            0.020793,           0.0084046,           0.0084046,           0.0084046
                  85,            0.033676,             0.01743,           0.0069458,             0.29686,             0.25228,             0.22977,            0.075123,            0.056926,            0.022737,            0.021648,           0.0083684,           0.0083684,           0.0083684
                  86,            0.035026,            0.018599,           0.0059055,             0.33308,             0.22783,             0.23331,            0.085547,            0.057399,            0.022509,            0.022203,           0.0083319,           0.0083319,           0.0083319
                  87,            0.034359,            0.017892,           0.0064901,             0.34219,              0.2069,             0.21333,            0.077432,            0.059297,            0.022572,            0.021675,           0.0082952,           0.0082952,           0.0082952
                  88,            0.034123,            0.017592,           0.0059173,             0.34649,             0.21345,             0.22238,            0.079062,            0.057173,            0.022253,            0.020162,           0.0082581,           0.0082581,           0.0082581
                  89,            0.033019,             0.01813,           0.0067019,             0.27194,             0.23193,             0.19978,            0.073454,            0.058094,            0.023238,            0.022594,           0.0082207,           0.0082207,           0.0082207
                  90,            0.033538,            0.017927,            0.006447,             0.31746,             0.20939,             0.20947,             0.08159,            0.056725,            0.021757,            0.025761,            0.008183,            0.008183,            0.008183
                  91,            0.034892,            0.016538,           0.0064132,             0.28521,              0.2206,             0.21217,            0.073718,            0.057396,            0.023208,            0.021213,            0.008145,            0.008145,            0.008145
                  92,            0.034671,            0.017253,            0.006538,             0.29201,             0.19646,             0.19302,            0.075949,            0.056857,            0.023175,            0.021906,           0.0081068,           0.0081068,           0.0081068
                  93,             0.03298,            0.018153,           0.0061527,             0.22943,             0.21746,             0.18364,            0.062647,            0.056929,             0.02379,            0.024743,           0.0080682,           0.0080682,           0.0080682
                  94,            0.033856,            0.017517,           0.0058741,             0.45633,             0.18505,             0.22087,             0.08198,            0.057287,            0.022358,            0.021993,           0.0080294,           0.0080294,           0.0080294
                  95,            0.033686,            0.017246,           0.0060523,             0.32374,             0.24429,             0.21843,            0.080507,            0.057559,             0.02315,            0.023576,           0.0079903,           0.0079903,           0.0079903
                  96,            0.034654,            0.018009,           0.0056808,             0.40636,             0.20215,             0.20011,            0.072188,            0.057616,            0.023699,            0.023985,           0.0079509,           0.0079509,           0.0079509
                  97,            0.032646,            0.018135,           0.0062518,             0.32364,             0.22924,             0.21404,            0.080277,            0.055629,            0.024125,            0.023972,           0.0079112,           0.0079112,           0.0079112
                  98,            0.032877,            0.017124,           0.0056307,             0.27135,              0.2297,             0.20359,            0.074034,            0.057729,            0.023591,            0.023486,           0.0078713,           0.0078713,           0.0078713
                  99,            0.033625,            0.017262,           0.0052321,             0.28269,             0.22048,             0.20353,             0.07233,            0.058938,            0.021439,            0.023283,           0.0078311,           0.0078311,           0.0078311
                 100,            0.033275,            0.017321,            0.005333,             0.36623,             0.21413,             0.19919,            0.067227,            0.058721,            0.023275,            0.025812,           0.0077907,           0.0077907,           0.0077907
                 101,            0.033094,            0.017171,           0.0047936,             0.28946,             0.23906,             0.20876,            0.082434,            0.057166,            0.023696,            0.024117,             0.00775,             0.00775,             0.00775
                 102,            0.032428,            0.017306,           0.0057138,             0.30431,             0.26289,             0.21451,            0.080185,            0.056174,            0.024299,            0.021864,           0.0077091,           0.0077091,           0.0077091
                 103,            0.032143,            0.018014,           0.0065897,             0.34717,             0.22099,             0.21584,            0.075787,             0.05489,            0.024241,            0.022584,           0.0076679,           0.0076679,           0.0076679
                 104,            0.031903,             0.01817,           0.0053382,             0.30976,             0.23445,             0.19412,            0.071765,            0.056814,            0.024523,            0.022659,           0.0076265,           0.0076265,           0.0076265
                 105,            0.032796,            0.017209,           0.0055348,             0.33736,              0.2255,             0.21049,            0.076204,            0.057949,            0.022636,            0.025251,           0.0075848,           0.0075848,           0.0075848
                 106,            0.031641,            0.017318,           0.0048412,             0.39337,             0.22239,             0.22542,            0.081873,            0.056515,            0.023379,            0.021766,            0.007543,            0.007543,            0.007543
                 107,            0.032814,            0.017417,           0.0061487,             0.37755,             0.21942,             0.21807,            0.083682,            0.055594,            0.024278,            0.022568,           0.0075009,           0.0075009,           0.0075009
